MD,SGRC,SEXP,SESP,SEMP,TVD,TVDSS,BS,R(D)/RT,PHID,RHOBHC,NPHIHC,PHIECPX,PHITCPX,Sw/SXO,New_feat,K,PAY,NET,KTIM,MRP,T2LM,T2_DIST,T2LM_L,T2LM_G
1277.7,52.05,0.82,3.41,6.42,4191.8,4109.78,12.25,6.93,0.3,2.19,0.25,0.23,0.27,0.81021,3.00021,92.11,1,1,1383.65,0.27,,0.000599059,137.3625,137.3361659
1277.8,51.14,0.77,2.99,5.75,4192.13,4110.11,12.25,5.94,0.31,2.18,0.24,0.23,0.27,0.82413,3.00413,96.42,1,1,1462.56,0.26,140.0521,0.000463288,140.0521,140.0521
1277.9,48.71,0.7,2.59,4.11,4192.46,4110.44,12.25,4.82,0.31,2.17,0.24,0.24,0.28,0.83997,3.00997,135.38,1,1,1558.58,0.26,,0.000748445,121.50315,120.0789403
1278,44.75,0.67,2.39,3.51,4192.79,4110.77,12.25,4.22,0.32,2.15,0.24,0.26,0.29,0.84775,2.99775,232.59,1,1,1654.6,0.25,102.9542,0.001269229,102.9542,102.9542
1278.1,44.31,0.64,2.26,3.35,4193.12,4111.09,12.25,3.98,0.34,2.12,0.25,0.28,0.3,0.84476,2.96476,329.67,1,1,1750.62,0.25,,0.001693447,83.86089,81.65840058
1278.2,45.75,0.58,2.08,3.17,4193.44,4111.42,12.25,3.76,0.35,2.11,0.25,0.28,0.3,0.84821,2.95821,305.19,1,1,1771.74,0.24,64.76758,0.002083073,64.76758,64.76758
1278.3,48.61,0.55,2.03,3.1,4193.77,4111.75,12.25,3.76,0.35,2.11,0.25,0.26,0.3,0.84783,2.95783,236.09,1,1,1582.71,0.24,,0.001355313,66.366375,66.34711437
1278.4,49.08,0.54,2.18,3.44,4194.1,4112.08,12.25,4.18,0.35,2.11,0.24,0.26,0.3,0.84161,2.95161,201.05,1,1,1393.69,0.24,67.96517,0.000400549,67.96517,67.96517
1278.5,53.01,0.54,2.62,4.81,4194.43,4112.41,12.25,5.27,0.34,2.12,0.24,0.24,0.29,0.82364,2.94364,124.94,1,1,1204.67,0.24,,0.000577101,97.815185,93.14927279
1278.6,59.59,0.57,3.14,5.51,4194.76,4112.73,12.25,6.02,0.33,2.14,0.23,0.2,0.27,0.81792,2.95792,43.08,1,1,1015.65,0.24,127.6652,0.000853516,127.6652,127.6652
1278.7,59.44,0.65,4.18,7.16,4195.08,4113.06,12.25,6.86,0.3,2.19,0.24,0.23,0.3,0.79146,2.98146,102.7,1,1,899.66,0.25,,0.001622,101.447545,98.00121914
1278.8,58.55,0.72,5.06,8.46,4195.41,4113.39,12.25,7.49,0.27,2.23,0.24,0.23,0.3,0.78551,3.01551,108.15,1,1,816.34,0.25,75.22989,0.00219119,75.22989,75.22989
1278.9,61.09,0.71,4.43,7.25,4195.74,4113.72,12.25,6.43,0.26,2.25,0.24,0.22,0.29,0.79803,3.04803,78.2,1,1,733.03,0.26,,0.001233463,84.72729,84.19330771
1279,59.6,0.63,2.83,4.71,4196.07,4114.05,12.25,4.19,0.25,2.27,0.24,0.22,0.29,0.83547,3.10547,82.26,1,1,649.72,0.27,94.22469,0.000425062,94.22469,94.22469
1279.1,55.9,0.59,2,3.11,4196.4,4114.38,12.25,3.04,0.25,2.26,0.24,0.23,0.29,0.86514,3.12514,113.1,1,1,574.55,0.28,,0.000174257,110.939745,109.6733056
1279.2,53.4,0.54,1.74,2.83,4196.72,4114.7,12.25,2.72,0.29,2.21,0.23,0.24,0.29,0.878,3.088,130.19,1,1,559.77,0.28,127.6548,0.000171877,127.6548,127.6548
1279.3,50.6,0.47,1.54,2.14,4197.05,4115.03,12.25,2.56,0.32,2.15,0.22,0.23,0.27,0.89733,3.04733,99.18,1,1,544.99,0.29,,0.000735599,108.231945,106.4749108
1279.4,49.11,0.44,1.45,2.11,4197.38,4115.36,12.25,2.5,0.34,2.12,0.22,0.24,0.28,0.89401,3.01401,145.8,1,1,530.21,0.29,88.80909,0.001140225,88.80909,88.80909
1279.5,49.84,0.4,1.52,2.28,4197.71,4115.69,12.25,2.61,0.35,2.11,0.23,0.25,0.29,0.8852,2.9952,164.77,1,1,515.42,0.3,,0.001308922,87.93002,87.92562569
